name,year,draftPick,height,heightWithShoes,wingspan,standingReach,max,maxReach,noStep,noStepReach,weight,bodyFat,handLength,handWidth,bench,agility,sprint
nikola vucevic,2011,16,6'10 ¼",6'11 ¾",7'4 ½",9'4 ½",25",11'5 ½",23.5",11'4",260,6.1,9.25",10.25",8,12.02,3.27
kaleb tarczewski,2012,null,6'10 ¼",6'11 ¾",6'11",9'0 ½",null,null,null,null,243,null,null,null,null,null,null
perry jones,2012,28,6'10 ¼",6'11 ¼",7'1 ¾",8'11",38.5",12'1 ½",33",11'8",234,4.6,9.25",9.5",11,11.31,3.19
steven hill,2008,null,6'10 ¼",7'0",7'3 ¾",null,null,null,null,null,231,null,null,null,null,null,null
aboubakar zaki,2009,null,6'10 ¼",6'11",7'5",9'6",null,null,null,null,214,null,null,null,null,null,null
mike muscala,2013,44,6'10 ¼",6'11 ½",7'1",9'0",33.5",11'9 ½",28",11'4",230,6.8,8.5",9",5,11.76,3.44
karl towns,2014,1,6'10 ¼",6'11 ¼",7'3 ¼",9'1",36.5",12'1 ½",29",11'6",250,8.1,9.25",10.5",13,10.66,3.36
damian jones,2016,30,6'10 ¼",6'11 ½",7'3 ¾",8'11",37",12'0",36",11'11",244,6.6,8.75",10.5",null,11.35,3.2
zach collins,2017,10,6'10 ¼",7'0",7'1",9'3",null,null,null,null,232,8.9,8.75",9.25",null,null,null
goga bitadze,2017,null,6'10 ¼",6'11 ¼",7'1 ¾",9'2 ¼",null,null,null,null,251,null,null,null,null,null,null
marko tejic,2017,null,6'10 ¼",6'11 ¼",6'11 ½",9'1",null,null,null,null,232,null,null,null,null,null,null
kyle visser,2007,null,6'10",6'11 ½",6'11",9'0",29",11'5",26",11'2",242,10.2,null,null,18,12.6,3.39
lamarcus aldridge,2006,2,6'10",6'11 ¼",7'4 ¾",9'2",34",12'0",26.5",11'4 ½",234,8.7,null,null,8,12.02,3.43
nazr mohammed,1998,29,6'10",null,null,null,null,null,null,null,221,null,null,null,null,null,null
jelani mccoy,1998,33,6'10",null,null,null,null,null,null,null,245,null,null,null,null,null,null
sean marks,1998,44,6'10",null,null,null,null,null,null,null,242,null,null,null,null,null,null
brett robisch,1998,null,6'10",null,null,null,null,null,null,null,251,null,null,null,null,null,null
christian laettner,1992,3,6'10",null,null,null,null,null,null,null,239,null,null,null,null,null,null
p.j. brown,1992,29,6'10",null,null,null,null,null,null,null,225,null,null,null,null,null,null
julius michalik,1995,null,6'10",null,null,null,null,null,null,null,222,null,null,null,null,null,null
sharone wright,1994,6,6'10",null,null,null,null,null,null,null,279,null,null,null,null,null,null
nemanja aleksandrov,2005,null,6'10",7'0",6'11",9'2",null,null,null,null,221,null,null,null,5,null,null
jared reiner,2004,null,6'10",6'11 ¾",7'0 ½",9'1",26",11'3",22",10'11",246,null,null,null,15,12.65,3.56
aleksandar djuric,2003,null,6'10",6'11 ¼",7'0",9'0",27.5",11'3 ½",23.5",10'11 ½",253,16.3,null,null,3,11.97,3.65
britton johnsen,2003,null,6'10",6'10 ¾",6'10 ¾",8'11 ½",32.5",11'8",26.5",11'2",212,7.3,null,null,13,10.67,3.08
robert archibald,2002,31,6'10",6'11",6'11 ¾",9'1 ½",27.5",11'5",24",11'1 ½",250,null,null,null,10,11.34,3.33
chris burgess,2002,null,6'10",6'11",6'11 ½",9'1",31",11'8",24.5",11'1 ½",246,null,null,null,24,11.58,3.37
peter fehse,2002,48,6'10",6'11",7'0 ½",9'1",null,null,null,null,220,null,null,null,null,null,null
jared jeffries,2002,11,6'10",null,7'0 ½",9'1",30",11'7",26",11'3",230,null,null,null,9,11.73,3.4
kwame brown,2001,1,6'10",6'11 ½",7'1",9'0",33",11'9",30",11'6",243,null,null,null,17,11.59,3.45
desagana diop,2001,8,6'10",6'11 ¼",7'6 ½",9'5",25.5",11'6 ½",21.5",11'2 ½",314,null,null,null,15,12.37,3.56
ernest brown,2000,52,6'10",6'11 ¼",7'1 ¼",9'1 ½",null,null,null,null,223,null,null,null,2,null,null
stacey king,1989,6,6'10",null,null,null,null,null,null,null,null,null,null,null,null,null,null
josh heytvelt,2009,null,6'10",6'11",7'1 ¼",9'0",34",11'10",28.5",11'4 ½",246,10.8,null,null,15,11.67,3.38
justin neuhaus,2010,null,6'10",null,7'1",8'11 ¾",null,null,null,null,220,null,null,null,null,null,null
mamadou diarra,2011,null,6'10",6'11 ½",7'4 ½",9'4",32",12'0",26",11'6",223,8.2,10.25",null,null,null,4.29
keith benson,2011,48,6'10",6'11",7'3 ¾",9'1 ½",36",12'1 ½",31.5",11'9",217,6.1,9.5",11",12,11.88,3.35
jon leuer,2011,40,6'10",6'11 ½",7'0",8'9 ½",36.5",11'10",29.5",11'3",223,5.4,8.75",9.75",17,10.82,3.36
hunter mickelson,2010,null,6'10",null,7'0",8'9 ½",null,null,null,null,189,null,null,null,null,null,null
zach price,2010,null,6'10",null,7'1",9'1",null,null,null,null,232,null,null,null,null,null,null
cody zeller,2010,4,6'10",null,6'9",8'9 ½",null,null,null,null,209,null,null,null,null,null,null
nerlens noel,2012,6,6'10",6'11",7'4",9'1 ½",null,null,null,null,216,null,null,null,null,null,null
henry sims,2012,null,6'10",null,7'4",null,null,null,23.3",1'10 ¼",251,null,null,null,null,12.87,3.52
darko planinic,2012,null,6'10",6'11",7'0 ¼",9'0",27",11'3",24",11'0",255,null,null,null,null,12.27,3.51
chris hunter,2006,null,6'10",6'11 ¼",7'2 ¾",null,null,null,null,null,216,null,null,null,null,null,null
daniel kickert,2006,null,6'10",6'10 ½",6'10 ¼",null,null,null,null,null,253,null,null,null,null,null,null
dewayne dedmon,2013,null,6'10",6'11 ½",7'4",9'1",32.5",11'9 ½",28",11'5",239,8.4,9",11",8,12.75,3.4
jusuf nurkic,2013,16,6'10",6'11 ½",7'2",9'1 ½",23",11'0 ½",21",10'10 ½",280,null,null,null,null,12.95,3.51
mamadou kamare,2013,null,6'10",null,6'10",null,null,null,null,null,184,null,null,null,null,null,null
skal labissiere,2013,28,6'10",null,7'1",null,null,null,null,null,198,null,null,null,null,null,null
brad brechting,2013,null,6'10",null,7'1",null,null,null,null,null,193,null,null,null,null,null,null
jimbo lull,2013,null,6'10",null,6'11",null,null,null,null,null,242,null,null,null,null,null,null
richard solomon,2014,null,6'10",6'11",7'0 ¾",8'7 ½",41",12'0 ½",36",11'7 ½",226,5.5,9.5",10",14,12.26,3.3
dragan bender,2014,4,6'10",6'11",7'1",9'3",25.5",11'4 ½",24.5",11'3 ½",202,null,null,null,null,12.18,3.58
rodney miller,2014,null,6'10",null,7'1",null,null,null,null,null,245,null,null,null,null,null,null
victor uyaelunmo,2014,null,6'10",null,7'0",null,null,null,null,null,198,null,null,null,null,null,null
nicholas richard,2014,null,6'10",null,7'2",null,null,null,null,null,217,null,null,null,null,null,null
nick rakocevic,2014,null,6'10",null,6'7",null,null,null,null,null,199,null,null,null,null,null,null
jeremiah tilmon,2014,null,6'10",null,7'1",null,null,null,null,null,234,null,null,null,null,null,null
myles turner,2014,11,6'10",null,7'4",null,null,null,null,null,243,null,null,null,null,null,null
stephen zimmerman,2014,41,6'10",null,7'2 ¾",null,null,null,null,null,241,null,null,null,null,null,null
matur maker,2015,null,6'10",null,7'2",null,null,null,null,null,192,null,null,null,null,null,null
matthew neufeld,2015,null,6'10",null,7'0",null,null,null,null,null,226,null,null,null,null,null,null
youssou ndoye,2015,null,6'10",null,7'5",9'4",null,null,24.5",11'4 ½",234,null,null,null,null,12.33,3.46
amir williams,2015,null,6'10",null,7'3",8'11",null,null,30.5",11'5 ½",257,null,null,null,null,12.29,3.56
daniel coursey,2015,null,6'10",6'11 ¼",6'11",8'10 ½",31",11'5 ½",27",11'1 ½",249,null,null,null,null,12.95,3.67
omer yurtseven,2015,null,6'10",6'11 ½",7'0 ¾",9'0",31",11'7",25.5",11'1 ½",228,null,null,null,null,11.81,3.51
vladyslav koreniuk,2015,null,6'10",6'11",6'11 ¼",9'0 ½",25.5",11'2",23",10'11 ½",250,null,null,null,null,12.22,3.52
mitchell robinson,2015,null,6'10",null,7'2",null,null,null,null,null,200,null,null,null,null,null,null
mohamed bamba,2015,null,6'10",null,7'8",null,null,null,null,null,195,null,null,null,null,null,null
samuel japhet-mathias,2015,null,6'10",null,7'3",null,null,null,null,null,289,null,null,null,null,null,null
prince ibeh,2016,null,6'10",6'11",7'5 ½",9'4 ½",null,null,32.5",12'1",261,null,null,null,null,11.71,3.3
tonye jekiri,2016,null,6'10",6'11",7'2",9'1",null,null,26",11'3",239,null,null,null,null,12.56,3.52
shevon thompson,2016,null,6'10",6'11",7'5",9'3",null,null,25",11'4",241,null,null,null,null,13.85,3.79
ante zizic,2016,23,6'10",6'11 ½",7'2 ½",9'3",27",11'6",25",11'4",249,null,null,null,null,13.27,3.48
gavin bizeau,2016,null,6'10",null,6'9",null,null,null,null,null,181,null,null,null,null,null,null
kofi cockburn,2016,null,6'10",null,7'2",null,null,null,null,null,248,null,null,null,null,null,null
justin patton,2017,16,6'10",6'11 ¼",7'3",9'3 ½",30.5",11'10",26",11'5 ½",229,7.8,8.75",9.75",null,11.8,3.46
moritz wagner,2017,null,6'10",6'11 ¼",7'0",9'0",32.5",11'8 ½",25.5",11'1 ½",231,6.7,8.75",10.75",null,12,3.35
ismael bako,2017,null,6'10",6'11",7'2 ½",9'3 ½",null,null,null,null,207,null,null,null,null,null,null
egemen guven,2017,null,6'10",6'11",7'2 ½",9'1 ¾",null,null,null,null,221,null,null,null,null,null,null
robin benzing,2010,null,6'9 ¾",6'11 ¼",6'10 ½",9'0 ¼",29.1",11'5 ¼",22.4",10'10 ½",223,null,null,null,null,null,null
joffrey lauvergne,2011,55,6'9 ¾",6'11",6'9 ½",8'7 ½",31.6",11'3",23.8",10'7 ¼",225,3.2,null,null,null,null,3.24
lucas nogueira,2011,16,6'9 ¾",6'11",7'4 ¾",9'2 ½",20.9",10'11 ½",17.6",10'8",215,5.7,null,null,null,null,3.67
marko lekic,2007,null,6'9 ¾",6'10 ½",7'1",9'0 ½",30.5",11'7",24",11'0 ½",267,11.4,null,null,19,11.96,3.43
james hughes,2007,null,6'9 ¾",6'10 ¾",7'3",9'3",33",12'0",31",11'10",209,3.5,null,null,8,13.31,3.37
matt haryasz,2006,null,6'9 ¾",6'11",7'0 ¼",8'11 ½",31.5",11'7",27.5",11'3",219,9.8,null,null,10,11.34,3.46
randall jackson,1998,null,6'9 ¾",null,null,null,null,null,null,null,210,null,null,null,null,null,null
rasheed wallace,1995,4,6'9 ¾",null,null,null,null,null,null,null,230,null,null,null,null,null,null
russell larson,1995,null,6'9 ¾",null,null,null,null,null,null,null,219,null,null,null,null,null,null
horacio llamas,1996,null,6'9 ¾",null,null,null,null,null,null,null,282,null,null,null,null,null,null
deandre jordan,2008,35,6'9 ¾",6'11",7'6",9'5 ½",30.5",12'0",26",11'7 ½",250,7.5,null,null,8,12.3,3.27
aleks maric,2008,null,6'9 ¾",6'10 ¾",7'1",9'1 ½",28",11'5 ½",23",11'0 ½",273,10.1,null,null,15,11.76,3.35
jules camara,2003,null,6'9 ¾",6'11 ¼",7'2 ¼",9'1",34.5",11'11 ½",28.5",11'5 ½",211,9.9,null,null,2,11.51,3.2
jason keep,2003,null,6'9 ¾",6'11",7'0 ½",8'10 ½",34",11'8 ½",29.5",11'4",270,8.6,null,null,27,11.18,3.3
troy murphy,2001,14,6'9 ¾",6'11",6'11",8'9 ½",34.5",11'8",28.5",11'2",230,null,null,null,11,11.22,3.43
vassil evtimov,2000,null,6'9 ¾",6'10 ½",6'10 ½",8'10 ½",28.5",11'3",21",10'7 ½",262,null,null,null,13,11.75,3.52
jabari smith,2000,45,6'9 ¾",6'11",7'2 ½",9'1 ½",30",11'7 ½",24.5",11'2",241,null,null,null,15,12.45,3.43
austin daye,2009,15,6'9 ¾",6'10 ¾",7'2 ¾",9'2",28",11'6",25",11'3",192,5.5,null,null,null,12.11,3.55
greg monroe,2010,7,6'9 ¾",6'11",7'2 ¼",9'0 ½",29",11'5 ½",25",11'1 ½",247,11.2,8.75",9.5",15,12.1,3.35
